date,state,cases_unvax,cases_pvax,cases_fvax,cases_boost
2020-01-25,Malaysia,4,0,0,0
2020-01-26,Malaysia,0,0,0,0
2020-01-27,Malaysia,0,0,0,0
2020-01-28,Malaysia,0,0,0,0
2020-01-29,Malaysia,3,0,0,0
2020-01-30,Malaysia,1,0,0,0
2020-01-31,Malaysia,0,0,0,0
2020-02-01,Malaysia,0,0,0,0
2020-02-02,Malaysia,0,0,0,0
2020-02-03,Malaysia,0,0,0,0
2020-02-04,Malaysia,2,0,0,0
2020-02-05,Malaysia,2,0,0,0
2020-02-06,Malaysia,2,0,0,0
2020-02-07,Malaysia,1,0,0,0
2020-02-08,Malaysia,1,0,0,0
2020-02-09,Malaysia,1,0,0,0
2020-02-10,Malaysia,1,0,0,0
2020-02-11,Malaysia,0,0,0,0
2020-02-12,Malaysia,0,0,0,0
2020-02-13,Malaysia,0,0,0,0
2020-02-14,Malaysia,1,0,0,0
2020-02-15,Malaysia,3,0,0,0
2020-02-16,Malaysia,0,0,0,0
2020-02-17,Malaysia,0,0,0,0
2020-02-18,Malaysia,0,0,0,0
2020-02-19,Malaysia,0,0,0,0
2020-02-20,Malaysia,0,0,0,0
2020-02-21,Malaysia,0,0,0,0
2020-02-22,Malaysia,0,0,0,0
2020-02-23,Malaysia,0,0,0,0
2020-02-24,Malaysia,0,0,0,0
2020-02-25,Malaysia,0,0,0,0
2020-02-26,Malaysia,0,0,0,0
2020-02-27,Malaysia,1,0,0,0
2020-02-28,Malaysia,2,0,0,0
2020-02-29,Malaysia,0,0,0,0
2020-03-01,Malaysia,4,0,0,0
2020-03-02,Malaysia,0,0,0,0
2020-03-03,Malaysia,7,0,0,0
2020-03-04,Malaysia,14,0,0,0
2020-03-05,Malaysia,5,0,0,0
2020-03-06,Malaysia,28,0,0,0
2020-03-07,Malaysia,10,0,0,0
2020-03-08,Malaysia,6,0,0,0
2020-03-09,Malaysia,18,0,0,0
2020-03-10,Malaysia,12,0,0,0
2020-03-11,Malaysia,20,0,0,0
2020-03-12,Malaysia,9,0,0,0
2020-03-13,Malaysia,39,0,0,0
2020-03-14,Malaysia,41,0,0,0
2020-03-15,Malaysia,190,0,0,0
2020-03-16,Malaysia,125,0,0,0
2020-03-17,Malaysia,120,0,0,0
